Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.440330505371094,6.4550763032980685,6.391278025967366,6.4228762217812925,493729600
2010-01-05,6.451465606689453,6.4878788893442865,6.417459465133687,6.458086349642286,601904800
2010-01-06,6.348846912384033,6.477045767122851,6.342226169002906,6.45146602403412,552160000
2010-01-07,6.337109088897705,6.379842571822461,6.2910660382072985,6.372319000569361,477131200
2010-01-08,6.379240989685059,6.37984327724476,6.291368480282735,6.328683790652659,447610800
2010-01-11,6.322964668273926,6.409934723155912,6.2730089691051045,6.4039158674023735,462229600
2010-01-12,6.251041889190674,6.31273437428661,6.21192052125898,6.295279285939875,594459600
2010-01-13,6.339217662811279,6.347644065238641,6.142105257908541,6.255558336976202,605892000
2010-01-14,6.302502155303955,6.333498868494199,6.290163899676365,6.322966270050092,432894000
2010-01-15,6.197175025939941,6.367806026370576,6.195369368621774,6.347642852984377,594067600
2010-01-19,6.471327304840088,6.475841447952822,6.2365978898712315,6.269399457778435,730007600
2010-01-20,6.3717169761657715,6.486673920818798,6.304607931659368,6.467413981837487,612152800
2010-01-21,6.261575222015381,6.419266090887947,6.235694935607777,6.3822513187179455,608154400
2010-01-22,5.951008319854736,6.244420751800569,5.933253496278336,6.22275367139185,881767600
2010-01-25,6.11110782623291,6.160159913204982,6.024438277446554,6.094255425129812,1065699600
2010-01-26,6.197475433349609,6.431302812541222,6.096361043026214,6.197776376209968,1867110000
2010-01-27,6.255856513977051,6.337108667348443,6.004574474146093,6.224859804269056,1722568400
2010-01-28,5.997352123260498,6.18423359893998,5.979597300239291,6.167080661566463,1173502400
2010-01-29,5.7797770500183105,6.0849263149904775,5.725307591416028,6.051221514344954,1245952400
2010-02-01,5.860126972198486,5.898345917430051,5.756905966858612,5.789106054008692,749876400
2010-02-02,5.894131183624268,5.90797455361082,5.819499371791326,5.895636299546066,698342400
2010-02-03,5.995548725128174,6.024739788245984,5.850798386666944,5.873368705165813,615328000
2010-02-04,5.779476642608643,5.96966773508442,5.765031383318195,5.920313902761244,757652000
2010-02-05,5.882094860076904,5.898345776508649,5.743363398956661,5.796930431016203,850306800
2010-02-08,5.841769218444824,5.9549213272537,5.8381579039905835,5.88901644563536,478270800
2010-02-09,5.904062747955322,5.94348505576787,5.860727781315687,5.910984031684571,632886800
2010-02-10,5.87186336517334,5.916402513346541,5.845983078914016,5.895035165286074,370361600
2010-02-11,5.978694915771484,6.011196343551841,5.839963468695428,5.864640381948894,550345600
2010-02-12,6.030155658721924,6.068073658294349,5.8832987465475535,5.961842829839377,655468800
2010-02-16,6.121038436889648,6.129765378733116,6.064462380073955,6.0771015794095895,543737600
2010-02-17,6.095458984375,6.148423323825495,6.044600039695561,6.14481200928308,436396800
2010-02-18,6.106893539428711,6.135783651748159,6.046405230884648,6.067771370027818,422825200
2010-02-19,6.068975925445557,6.115019381625988,6.052123526278265,6.074694241849937,415469600
2010-02-22,6.031360149383545,6.093955075137377,5.9943453733714644,6.08914038992014,390563600
2010-02-23,5.930242538452148,6.058742291266724,5.889616469066666,6.018717705640539,575094800
2010-02-24,6.038581371307373,6.0620541098590115,5.95371669357399,5.965453464642663,460566400
2010-02-25,6.078906059265137,6.1047863386915715,5.925127891456666,5.939873688124215,665126000
2010-02-26,6.157751560211182,6.174303015148983,6.078906542567606,6.090341969061385,507460800
2010-03-01,6.289261817932129,6.304609101247995,6.18273004722626,6.191757931846104,550093600
2010-03-02,6.285048484802246,6.3446335666957125,6.251644227573834,6.317549109822682,566546400
2010-03-03,6.299492359161377,6.315743273901178,6.257662908021177,6.28775639099061,372052800
2010-03-04,6.341021537780762,6.347341337824556,6.278426628439884,6.297988316082593,366041200
2010-03-05,6.588994026184082,6.611564341558994,6.458989507847811,6.468318737610514,899620400
2010-03-08,6.5929059982299805,6.623300023987272,6.56792814077251,6.620892882719896,429889600
2010-03-09,6.711474895477295,6.771059980948153,6.557094807948825,6.569734007625535,920259200
2010-03-10,6.766245365142822,6.7855057115785975,6.716892334572915,6.735851336302689,596218000
2010-03-11,6.786106109619141,6.786106109619141,6.720502570151375,6.738258200231668,405700400
2010-03-12,6.819210529327393,6.853215873199394,6.793630783453784,6.842381928305325,416323600
2010-03-15,6.736149787902832,6.786104284030633,6.628113331035812,6.782493773995126,493502800
2010-03-16,6.754508972167969,6.770458544717192,6.696127654389171,6.7463839153337695,446908000
2010-03-17,6.744579315185547,6.81469701573605,6.718999967231556,6.768052062424478,450956800
2010-03-18,6.760526657104492,6.771059255407664,6.699135519066172,6.7439743980178415,342109600
2010-03-19,6.688302993774414,6.778282913583098,6.657607219196507,6.764740884624189,559445600
2010-03-22,6.76353645324707,6.8011539109842705,6.625105944519468,6.634736116559172,456419600
2010-03-23,6.87217378616333,6.884813386537162,6.743974535986026,6.790318933770984,602431200
2010-03-24,6.90256929397583,6.927547152525729,6.846594718962101,6.850507378399074,597780400
2010-03-25,6.820713996887207,6.950718908748306,6.808676281829943,6.949213792573256,542284400
2010-03-26,6.948613166809082,6.980210965531149,6.8778927915812345,6.889930507429167,640875200
2010-03-29,6.9934515953063965,7.037990340013547,6.970280197857038,7.011809513625473,540744400
2010-03-30,7.097576141357422,7.146629436210777,7.049426077069653,7.120146458880253,527310000
2010-03-31,7.071996688842773,7.1204480998636654,7.055746573845187,7.086743294535618,430659600
2010-04-01,7.1011857986450195,7.184243615579169,7.004284610428982,7.144520766028681,603145200
2010-04-05,7.177023410797119,7.177625296640896,7.065075054612376,7.071395257764984,684507600
2010-04-06,7.208622455596924,7.229687657828379,7.132184555945661,7.1682969051895515,447017200
2010-04-07,7.2405195236206055,7.2802431767356675,7.182137413570325,7.208920925765114,628502000
2010-04-08,7.220961570739746,7.268810298535083,7.163482667714339,7.235707374767766,572989200
2010-04-09,7.27632999420166,7.279340226108691,7.236305802906011,7.265496855830414,334182800
2010-04-12,7.291377067565918,7.3148498046672055,7.276931811758566,7.28866818030921,333026400
2010-04-13,7.295591831207275,7.306727121298641,7.2558681684313155,7.2784392897480705,306210800
2010-04-14,7.393697261810303,7.397308576760023,7.344946117160852,7.381359004191702,404076400
2010-04-15,7.490896701812744,7.494206670682066,7.3882772202516565,7.39640227372039,376784800
2010-04-16,7.445159435272217,7.557709706143932,7.35939268951941,7.4803685607773165,750545600
2010-04-19,7.4352240562438965,7.459900563104607,7.275727581116219,7.434020285002613,566924400
2010-04-20,7.360595703125,7.500831911870525,7.31154320471947,7.479465362935289,738326400
2010-04-21,7.800861358642578,7.831858067208887,7.695834323768457,7.788221760243712,982391200
2010-04-22,8.019044876098633,8.027471280492184,7.709983231146024,7.771374802427175,793424800
2010-04-23,8.150246620178223,8.190872690813102,8.034988345964269,8.064780476328965,796955600
2010-04-26,8.110222816467285,8.199299474342899,8.07079971153427,8.18184559556133,479068800
2010-04-27,7.88572359085083,8.060266380685551,7.839981896677252,8.043113044474083,709343600
2010-04-28,7.872485637664795,7.944709517190749,7.716299901063173,7.9221400068558925,758402400
2010-04-29,8.084344863891602,8.125271489211546,7.884824150217178,7.915218176321169,558840800
2010-04-30,7.857134819030762,8.142421319594023,7.854426736018122,8.104503335904289,542463600
2010-05-03,8.015429496765137,8.061473352782082,7.911004332788278,7.939894847492478,454342000
2010-05-04,7.78461217880249,7.923344036694668,7.726532210770476,7.911307124840781,723819600
2010-05-05,7.703660011291504,7.7683615218646045,7.485180312894601,7.614583334040802,883103200
2010-05-06,7.410548210144043,7.771670775286969,5.9961486171522305,7.638657255607398,1285860800
2010-05-07,7.097875595092773,7.420178587065085,6.7773790639748865,7.334111334684138,1676018400
2010-05-10,7.643470764160156,7.6633329894029805,7.4791600096247866,7.530921368793214,984306400
2010-05-11,7.71960973739624,7.821024661807859,7.538446165856317,7.578770899197833,848906800
2010-05-12,7.887232303619385,7.918529562595967,7.785215469932708,7.801464779860699,654379600
2010-05-13,7.774984836578369,7.974806143445704,7.716000819135537,7.921239099362666,599712400
2010-05-14,7.638356685638428,7.718405881268533,7.508352581145744,7.678682226321156,759362800
2010-05-17,7.650393009185791,7.709376996938646,7.454483657675328,7.664838264207457,762834800
2010-05-18,7.594422340393066,7.780701597614358,7.53122512756829,7.733454762152877,782678400
2010-05-19,7.473443508148193,7.611272117906675,7.368417266961581,7.508352074858888,1025726800
2010-05-20,7.155052661895752,7.338322401662326,7.108406931142545,7.279037073703109,1282915200
2010-05-21,7.292281150817871,7.357885088111906,6.962153658917422,7.006391054623354,1223891200
2010-05-24,7.425896644592285,7.550484594508428,7.410850303169234,7.4415456754015405,754238800
2010-05-25,7.379551887512207,7.425895479698039,7.136997573118984,7.202902048954962,1048006400
2010-05-26,7.346148490905762,7.587499865670888,7.335314546933092,7.525807778983023,850654000
2010-05-27,7.624213218688965,7.640464134494157,7.4966166496729185,7.541455934201123,666282400
2010-05-28,7.730443954467773,7.806279953467251,7.62421312621644,7.805979412378519,815614800
2010-06-01,7.849315166473389,8.003093393928756,7.793040041614092,7.8150084746199955,876472800
2010-06-02,7.943204402923584,7.968783336850925,7.834264710933765,7.960958823651512,688548000
2010-06-03,7.9182281494140625,7.991355259344417,7.836673835366834,7.980219971135441,650106800
2010-06-04,7.702758312225342,7.8815135693448415,7.66273411279199,7.770468454258676,758304400
2010-06-07,7.5516886711120605,7.79875677524309,7.539951495738146,7.77287648836836,886942000
2010-06-08,7.503236770629883,7.637755416639728,7.392492208791898,7.620902616462197,1000770400
2010-06-09,7.31876277923584,7.580578259281095,7.297397040464219,7.567637313847886,854630000
